"country_code","country_name","wb_region","un_region","income_region","coverage_level","coverage_type","coverage_code","year"
"ALB","Albania","ECA","EUS","UMC","national","national","3","1996, 2002, 2005, 2008, 2012, 2014, 2015, 2016, 2017"
"DZA","Algeria","MNA","AFN","UMC","national","national","3","1988, 1995, 2011"
"AGO","Angola","SSA","AFM","LMC","national","national","3","2000, 2008, 2018"
"ARG","Argentina","LAC","LAS","HIC","urban","urban","2","1980, 1986, 1987, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2016, 2017, 2018, 2019"
"ARM","Armenia","ECA","ASW","UMC","national","national","3","1996, 1999, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019"
"AUS","Australia","OHI","OCA","HIC","national","national","3","1981, 1985, 1989, 1995, 2001, 2003, 2004, 2008, 2010, 2014"
"AUT","Austria","OHI","EUW","HIC","national","national","3","1987, 1994, 1995, 1997, 2000, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018"
"AZE","Azerbaijan","ECA","ASW","UMC","national","national","3","1995, 2001, 2002, 2003, 2004, 2005"
"BGD","Bangladesh","SAS","ASC","LMC","national","national","3","1983, 1985, 1988, 1991, 1995, 2000, 2005, 2010, 2016"
"BLR","Belarus","ECA","EUE","UMC","national","national","3","1993, 1995, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019"
"BEL","Belgium","OHI","EUW","HIC","national","national","3","1985, 1988, 1992, 1995, 1997, 2000, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018"
"BLZ","Belize","LAC","LAC","UMC","national","national","3","1993, 1994, 1995, 1996, 1997, 1998, 1999"
"BEN","Benin","SSA","AFW","LIC","national","national","3","2003, 2011, 2015"
